,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
468,469,15,['000'],0,S,0,0,,
469,470,15,['000'],0,A,0,0,,
470,471,15,['001'],1,B,0,0,,
471,472,15,['000'],0,S,0,0,,
472,473,15,['000'],0,A,0,0,,
473,474,15,['000'],0,B,0,0,,
474,475,15,['001'],1,S,0,0,,
475,476,15,['000'],0,A,0,0,,
476,477,15,['010'],2,B,0,0,,
477,478,15,['000'],0,S,0,0,,
478,479,15,['000'],0,A,0,0,,
479,480,14,['010'],2,B,0,0,,
480,481,15,['000'],0,S,0,0,,
481,482,15,['000'],0,A,0,0,,
482,483,15,['010'],2,B,0,0,,
483,484,15,['001'],1,S,0,0,,
484,485,15,['000'],0,A,0,0,,
485,486,15,['010'],2,B,0,0,,
486,487,15,['001'],1,S,0,0,,
487,488,15,['010'],2,A,0,0,,
488,489,15,['010'],2,B,0,0,,
489,490,15,['010'],2,S,0,0,,
490,491,15,['000'],0,A,0,0,,
491,492,15,['010'],2,B,0,0,,
492,493,15,['000'],0,S,0,0,,
493,494,15,['000'],0,A,0,0,,
494,495,15,['010'],2,B,0,0,,
495,496,15,['000'],0,S,0,0,,
496,497,15,['010'],2,A,0,0,,
497,498,15,['010'],2,B,0,0,,
498,499,15,['000'],0,S,0,0,,
499,500,15,['001'],1,A,0,0,,
500,501,15,['001'],1,B,0,0,,
501,502,15,['000'],0,S,0,0,,
502,503,15,['001'],1,A,0,0,,
503,504,15,['010'],2,B,0,0,,
504,505,15,['000'],0,S,0,0,,
505,506,15,['010'],2,A,0,0,,
506,507,15,['010'],2,B,0,0,,
507,508,15,['000'],0,S,0,0,,
508,509,15,['001'],1,A,0,0,,
509,510,15,['001'],1,B,0,0,,
510,511,15,['000'],0,S,0,0,,
511,512,15,['000'],0,A,0,0,,
512,513,15,['010'],2,B,0,0,,
513,514,15,['000'],0,S,0,0,,
514,515,15,['000'],0,A,0,0,,
515,516,15,['000'],0,B,0,0,,
516,517,15,['000'],0,S,0,0,,
517,518,15,['000'],0,A,0,0,,
518,519,15,['000'],0,B,0,0,,
519,520,15,['010'],2,S,0,0,,
520,521,15,['000'],0,A,0,0,,
521,522,15,['010'],2,B,0,0,,
522,523,15,['000'],0,S,0,0,,
523,524,15,['010'],2,A,0,0,,
524,525,15,['010'],2,B,0,0,,
525,526,15,['000'],0,S,0,0,,
526,527,15,['000'],0,A,0,0,,
527,528,15,['000'],0,B,0,0,,
528,529,15,['000'],0,S,0,0,,
529,530,15,['000'],0,A,0,0,,
530,531,15,['001'],1,B,0,0,,
531,532,15,['000'],0,S,0,0,,
532,533,15,['000'],0,A,0,0,,
533,534,15,['010'],2,B,0,0,,
534,535,15,['000'],0,S,0,0,,
535,536,15,['001'],1,A,0,0,,
536,537,15,['010'],2,B,0,0,,
537,538,15,['000'],0,S,0,0,,
